Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/80/Freeflow;0%;82.8160629272461;1.8386367559433;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/80/St+Go;0%;15.4738454818726;3.66858839988708;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/90/Freeflow;0%;92.8160934448242;1.9597579240799;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/90/St+Go;0%;17.9206314086914;3.3846652507782;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/100/Freeflow;0%;102.032997131348;2.07855892181396;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/100/St+Go;0%;17.9206314086914;3.38416028022766;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/110/Freeflow;0%;112.032035827637;2.25987863540649;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/110/St+Go;0%;17.918664932251;3.38391447067261;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/120/Freeflow;0%;122.028167724609;2.46579051017761;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/120/St+Go;0%;17.9120674133301;3.38485264778137;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/130/Freeflow;0%;132.625289916992;2.72856068611145;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/130/St+Go;0%;17.918643951416;3.38452816009521;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/>130/Freeflow;0%;142.767028808594;3.12165832519531;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/MW/>130/St+Go;0%;17.9152317047119;3.38497567176819;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/Semi-MW/90/Freeflow;0%;87.6552658081055;1.98370385169983;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/Semi-MW/90/St+Go;0%;17.920934677124;3.38344407081604;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/Semi-MW/110/Freeflow;0%;106.973190307617;2.24873399734497;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;RUR/Semi-MW/110/St+Go;0%;17.9216823577881;3.38399767875671;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;RUR/Trunk/60/Freeflow;0%;62.0689163208008;1.81528747081757;ØGermany;;
hot_avr_WTT_all_road_type[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;RUR/Trunk/60/St+Go;0%;13.2767972946167;4.0047779083252;ØGermany;;
