Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,0-1h,0-1km;0.069972887635231;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,1-2h,0-1km;0.136009499430656;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,2-3h,0-1km;0.203216373920441;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,3-4h,0-1km;0.277827948331833;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,4-5h,0-1km;0.353168517351151;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,5-6h,0-1km;0.431650429964066;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,6-7h,0-1km;0.510132312774658;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,7-8h,0-1km;0.588614165782928;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,8-9h,0-1km;0.667096078395844;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,9-10h,0-1km;0.745577871799469;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,10-11h,0-1km;0.824059844017029;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,11-12h,0-1km;0.902541756629944;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,>12h,0-1km;0.942159593105316;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,0-1h,1-2km;0.110045649111271;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,1-2h,1-2km;0.286535620689392;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,2-3h,1-2km;0.449970722198486;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,3-4h,1-2km;0.621210753917694;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,4-5h,1-2km;0.79328715801239;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,5-6h,1-2km;0.969573199748993;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,6-7h,1-2km;1.14585936069489;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,7-8h,1-2km;1.32214498519897;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,8-9h,1-2km;1.49843144416809;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,9-10h,1-2km;1.67471766471863;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,10-11h,1-2km;1.85100376605988;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,11-12h,1-2km;2.02728915214539;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,>12h,1-2km;2.11627888679504;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;TØ,0-1h,0-1km;5.23307943344116;;1.05837523937225;;6.29145479202271;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;TØ,1-2h,0-1km;10.3977336883545;;2.05662441253662;;12.4543581008911;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;TØ,2-3h,0-1km;15.3103218078613;;3.07280039787292;;18.3831214904785;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;TØ,3-4h,0-1km;20.6512832641602;;4.20097017288208;;24.8522529602051;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;TØ,4-5h,0-1km;25.9922370910645;;5.34016609191895;;31.3324031829834;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;TØ,5-6h,0-1km;31.5002040863037;;6.52686882019043;;38.0270729064941;
