Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,0-1h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,1-2h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,2-3h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,3-4h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,4-5h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,5-6h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,6-7h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,7-8h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,8-9h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,9-10h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,10-11h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,11-12h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,>12h,0-1km;0;;;;;
cold_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;TØ,0-1h,1-2km;0;;;;;
