Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./120/Freeflow;0%;115.939933776855;2.40857529640198;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./120/St+Go;0%;17.9176597595215;3.38438749313354;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./130/Freeflow;0%;126.037841796875;2.63680648803711;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./130/St+Go;0%;17.9153118133545;3.38423132896423;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/MW-City/100/Freeflow;0%;96.9336471557617;2.03792476654053;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/MW-City/100/St+Go;0%;17.9206314086914;3.38218832015991;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/50/Freeflow;0%;49.3581314086914;2.05012655258179;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/50/St+Go;0%;12.4886159896851;3.91724920272827;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/60/Freeflow;0%;57.2086524963379;2.04806661605835;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/60/St+Go;0%;12.4886264801025;3.91709017753601;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/70/Freeflow;0%;65.8327789306641;1.95447015762329;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/70/St+Go;0%;14.3996248245239;3.87048172950745;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/80/Freeflow;0%;74.3850402832031;1.96390783786774;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/80/St+Go;0%;15.4738435745239;3.66745185852051;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/90/Freeflow;0%;86.3270492553711;1.96949338912964;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Rural;URB/Trunk-City/90/St+Go;0%;15.4749660491943;3.66556596755981;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/Local/30/Freeflow;0%;30.1593742370605;2.43695950508118;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/Local/30/St+Go;0%;9.62191677093506;4.42374086380005;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/Local/40/Freeflow;0%;38.1120910644531;2.14409518241882;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;FC_MJ;Urban;URB/Local/40/St+Go;0%;11.8271789550781;3.91319537162781;ØGermany;;
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;MW;URB/MW-Nat./120/Freeflow;0%;115.939933776855;202.970840454102;ØGermany;36.6706848144531;202.970840454102
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;MW;URB/MW-Nat./120/St+Go;0%;17.9176597595215;286.451141357422;ØGermany;51.442684173584;286.451141357422
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;MW;URB/MW-Nat./130/Freeflow;0%;126.037841796875;222.158355712891;ØGermany;40.1474494934082;222.158355712891
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;MW;URB/MW-Nat./130/St+Go;0%;17.9153118133545;286.438293457031;ØGermany;51.4403266906738;286.438293457031
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/MW-City/100/Freeflow;0%;96.9336471557617;171.884216308594;ØGermany;31.1306800842285;171.884216308594
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/MW-City/100/St+Go;0%;17.9206314086914;286.309387207031;ØGermany;51.543342590332;286.309387207031
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/50/Freeflow;0%;49.3581314086914;173.523910522461;ØGermany;31.262601852417;173.523910522461
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/50/St+Go;0%;12.4886159896851;331.284301757813;ØGermany;59.6799278259277;331.284301757813
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/60/Freeflow;0%;57.2086524963379;173.376983642578;ØGermany;31.2365112304688;173.376983642578
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/60/St+Go;0%;12.4886264801025;331.27099609375;ØGermany;59.6775398254395;331.27099609375
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/70/Freeflow;0%;65.8327789306641;165.506546020508;ØGermany;29.8213787078857;165.506546020508
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/Trunk-City/70/St+Go;0%;14.3996248245239;327.315979003906;ØGermany;58.963695526123;327.315979003906
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/80/Freeflow;0%;74.3850402832031;166.284072875977;ØGermany;29.9532642364502;166.284072875977
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/80/St+Go;0%;15.4738435745239;310.290985107422;ØGermany;55.8550224304199;310.290985107422
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/90/Freeflow;0%;86.3270492553711;166.125549316406;ØGermany;30.0504856109619;166.125549316406
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Rural;URB/Trunk-City/90/St+Go;0%;15.4749660491943;310.132934570313;ØGermany;55.8266448974609;310.132934570313
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/Local/30/Freeflow;0%;30.1593742370605;207.082763671875;ØGermany;37.1006088256836;207.082763671875
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/Local/30/St+Go;0%;9.62191677093506;373.926544189453;ØGermany;67.3853378295898;373.926544189453
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/Local/40/Freeflow;0%;38.1120910644531;182.365356445313;ØGermany;32.6715126037598;182.365356445313
hot_avr_WTT[4.2.2];pass. car;2020;REF D HB42;CO2e;Urban;URB/Local/40/St+Go;0%;11.8271789550781;330.993347167969;ØGermany;59.6135139465332;330.993347167969
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./120/Freeflow;0%;115.933570861816;4.11289882659912;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./120/St+Go;0%;17.9234027862549;4.19259023666382;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./130/Freeflow;0%;125.998153686523;4.65693664550781;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;MW;URB/MW-Nat./130/St+Go;0%;17.9180278778076;4.19358777999878;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Urban;URB/MW-City/100/Freeflow;0%;96.9333648681641;3.2322473526001;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Urban;URB/MW-City/100/St+Go;0%;17.9299468994141;4.19182682037354;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/50/Freeflow;0%;49.3581237792969;2.73370718955994;ØGermany;;
hot_avr_WTT[4.2.2];LCV;2020;REF D HB42;FC_MJ;Urban;URB/Trunk-City/50/St+Go;0%;12.4883232116699;4.51063537597656;ØGermany;;
